"date","cases_lag","deaths_new"
2020-03-17,212,2
2020-03-18,106,0
2020-03-19,172,0
2020-03-20,235,1
2020-03-21,130,4
2020-03-22,159,4
2020-03-23,150,5
2020-03-24,156,2
2020-03-25,140,3
2020-03-26,142,5
2020-03-27,208,2
2020-03-28,217,6
2020-03-29,150,5
2020-03-30,179,4
2020-03-31,131,5
2020-04-01,170,2
2020-04-02,156,2
2020-04-03,109,5
2020-04-04,118,3
2020-04-05,184,2
2020-04-06,153,2
2020-04-07,134,1
2020-04-08,170,1
2020-04-09,85,2
2020-04-10,110,3
2020-04-11,69,3
2020-04-12,54,5
2020-04-13,84,1
2020-04-14,36,3
2020-04-15,57,2
2020-04-16,50,2
2020-04-17,71,1
2020-04-18,88,0
2020-04-19,51,1
2020-04-20,38,1
2020-04-21,40,2
2020-04-22,31,2
2020-04-23,94,1
2020-04-24,57,1
2020-04-25,69,2
2020-04-26,105,0
2020-04-27,122,1
2020-04-28,55,1
2020-04-29,30,1
2020-04-30,45,2
2020-05-01,39,0
2020-05-02,68,1
2020-05-03,54,1
2020-05-04,67,0
2020-05-05,70,2
2020-05-06,16,0
2020-05-07,37,1
2020-05-08,40,0
2020-05-09,36,1
2020-05-10,17,1
2020-05-11,22,0
2020-05-12,47,1
2020-05-13,37,2
2020-05-14,31,0
2020-05-15,50,0
2020-05-16,78,0
2020-05-17,48,0
2020-05-18,60,1
2020-05-19,172,0
2020-05-20,187,0
2020-05-21,15,1
2020-05-22,10,0
2020-05-23,103,0
2020-05-24,30,0
2020-05-25,57,0
2020-05-26,38,0
2020-05-27,20,0
2020-05-28,93,0
2020-05-29,277,0
2020-05-30,19,0
2020-05-31,37,0
2020-06-01,19,0
2020-06-02,7,0
2020-06-03,7,0
2020-06-04,2,1
2020-06-05,31,1
2020-06-06,33,0
2020-06-07,43,0
2020-06-08,8,0
2020-06-09,41,0
2020-06-10,11,1
2020-06-11,10,1
2020-06-12,14,2
2020-06-13,6,0
2020-06-14,21,0
2020-06-15,16,0
2020-06-16,15,0
2020-06-17,3,0
